,day,turnSpent,advUsed,location,combat,free?,items,meat,rounds,mox,mus,mys,effectsGained,clover,nativeMonster,hpGain,hpLoss,ncTitle,semirare,itemsUsed,skills,crafting,lineRange,freeNC,macroFrom
1,1,1,1,Guano Junction,N/A,0,"['sonar-in-a-biscuit', 'sonar-in-a-biscuit']",0,-1,0,0,0,[],True,,0,0,How I Wonder What You're At,,[],[],,"[871, 914]",,[]
2,1,2,1,The Haunted Kitchen,skullery maid,0,"['blood bag', 'bottle of popskull', ""Skullery Maid's Knee""]",179,4,12,15,29,[],,True,105,-1,,,[],"['SING ALONG!', 'DARK FEAST!']",,"[914, 943]",,[]
3,1,3,1,The Outskirts of Cobb's Knob,Knob Goblin Assistant Chef,0,"[""chef's hat"", 'Gathered Meat-Clip']",27,2,8,7,31,[],,True,0,0,,,[],[],,"[943, 963]",,[]
4,1,4,0,The Outskirts of Cobb's Knob,Sub-Assistant Knob Mad Scientist,1,[],0,1,0,0,0,[],,True,0,0,,,[],['ENSORCEL!'],,"[963, 976]",,[]
5,1,4,0,The Haunted Kitchen,sausage goblin,1,"['magical sausage casing', ""Cobb's Knob map""]",378,3,16,14,44,[],,,12,-1,,,[],"['SING ALONG!', 'CHILL OF THE TOMB!']",,"[976, 1008]",,[]
6,1,4,0,Crafting Adventure,N/A,1,[],0,-1,0,0,0,[],,,0,0,???,,[],[],Cook 4 wad of dough + 4 soda water,"[1008, 1016]",1,[]
7,1,4,1,The Haunted Kitchen,skullery maid,0,['bottle of popskull'],148,4,10,9,39,[],,True,106,-1,,,[],"['DARK FEAST!', 'SING ALONG!']",,"[1016, 1037]",,[]
8,1,5,0,The Haunted Kitchen,sausage goblin,1,"['Meteorite-Ade', 'magical sausage casing']",362,3,18,18,43,"[('Cosmic Flavor', 5)]",,,8,-1,,,[],"['SING ALONG!', 'CHILL OF THE TOMB!']",,"[1037, 1058]",,[]
9,1,5,0,The Haunted Kitchen,sausage goblin,1,['magical sausage casing'],401,3,17,19,46,[],,,9,-1,,,[],"['SING ALONG!', 'CHILL OF THE TOMB!']",,"[1058, 1090]",,[]
10,1,5,1,The Haunted Kitchen,zombie chef,0,"['stale baguette', 'bottle of cooking sherry', 'zombie hollandaise']",155,5,15,18,42,[],,True,103,0,,,[],"['SING ALONG!', 'DARK FEAST!']",,"[1090, 1115]",,[]
